"","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","continent","stateProvince","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","gadm.level0.gid","gadm.level0.name","gadm.level1.gid","gadm.level1.name","gadm.level2.gid","gadm.level2.name","gadm.level3.gid","gadm.level3.name","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","rightsHolder","recordNumber","identifier","municipality","locality","datasetName","gbifID","collectionCode","language","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","name","gadm","elevation","elevationAccuracy","otherCatalogNumbers","coordinateUncertaintyInMeters","references","http...unknown.org.nick","verbatimEventDate","verbatimLocality","taxonID","http...unknown.org.occurrenceDetails","rights","eventTime","identificationID","fieldNotes","habitat","samplingEffort","county","samplingProtocol","institutionID","preparations","verbatimElevation","nomenclaturalCode","georeferenceProtocol","endDayOfYear","startDayOfYear","collectionID","individualCount","georeferencedDate","georeferencedBy","georeferenceVerificationStatus","georeferenceRemarks","higherGeography","fieldNumber","previousIdentifications","higherClassification","georeferenceSources","nomenclaturalStatus","bibliographicCitation","dynamicProperties","identificationQualifier","vernacularName","accessRights","identificationRemarks","informationWithheld","organismID","locationID","datasetID","verbatimCoordinateSystem","http...unknown.org.recordId","reproductiveCondition","typeStatus","typifiedName","projectId","organismQuantity","organismQuantityType","eventID","http...rs.tdwg.org.dwc.terms.organismQuantity","http...rs.tdwg.org.dwc.terms.organismQuantityType","recordedByIDs.type","recordedByIDs.value","http...unknown.org.rights","http...unknown.org.language","http...unknown.org.rightsHolder","eventRemarks","taxonRemarks",".val",".equ",".zer",".cap",".cen",".otl",".gbf",".inst",".summary"
"38",1898863275,"Ziziphus joazeiro Mart.",-8.46,-36.36,"gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2020-11-10T22:12:47.678+0000","2020-11-10T22:21:38.470+0000",321,"none","PRESERVED_SPECIMEN","PRESENT",3876019,6,7707728,220,691,2407,7273809,8910944,8910944,"Sarcomphalus joazeiro (Mart.) Hauenschild","Plantae","Tracheophyta","Rosales","Rhamnaceae","Sarcomphalus","Sarcomphalus joazeiro","Ziziphus","joazeiro","SPECIES","SYNONYM","2018-02-15T00:00:00",NA,"Pernambuco",2017,4,12,"2017-04-12T00:00:00",NA,"2020-11-10T22:21:38.470+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","BRA","Brazil","BRA.17_1","Pernambuco","BRA.17.147_1","São Bento do Una","BRA.17.147.1_1","Espírito Santo","WGS84","Magnoliopsida","BR","none","none","Brazil","Rio de Janeiro Botanical Garden","109","urn:catalog:JBRJ:RB:1396596","São Bento do Una","Conglomerado do Inventário Nacional Florestal PE_157, 1-10-1","RB - Rio de Janeiro Botanical Garden Herbarium Collection",1898863275,"RB",NA,"urn:catalog:JBRJ:RB:1396596","Physical Object","M. A. C. Souza","RB01396596","JBRJ",NA,"Frutos imaturos, verdes","M. A. Oliveira","Ziziphus joazeiro Mart.",NA,NA,NA,"RB 773895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"39",1898863324,"Ziziphus joazeiro Mart.",-8.46,-35.999722,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2020-11-10T22:12:47.678+0000","2020-11-10T22:21:38.364+0000",321,"none","PRESERVED_SPECIMEN","PRESENT",3876019,6,7707728,220,691,2407,7273809,8910944,8910944,"Sarcomphalus joazeiro (Mart.) Hauenschild","Plantae","Tracheophyta","Rosales","Rhamnaceae","Sarcomphalus","Sarcomphalus joazeiro","Ziziphus","joazeiro","SPECIES","SYNONYM","2017-12-18T00:00:00",NA,"Pernambuco",2017,4,12,"2017-04-12T00:00:00",NA,"2020-11-10T22:21:38.364+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","BRA","Brazil","BRA.17_1","Pernambuco","BRA.17.9_1","Altinho","BRA.17.9.1_1","Altinho","WGS84","Magnoliopsida","BR","none","none","Brazil","Rio de Janeiro Botanical Garden","282","urn:catalog:JBRJ:RB:1396594","Altinho","Conglomerado do Inventário Nacional Florestal PE_159, 2-7-1","RB - Rio de Janeiro Botanical Garden Herbarium Collection",1898863324,"RB",NA,"urn:catalog:JBRJ:RB:1396594","Physical Object","I. S. Nascimento","RB01396594","JBRJ",NA,"Fruto redondo, imaturo","M. A. Oliveira","Ziziphus joazeiro Mart.",NA,NA,NA,"RB 773893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Área de pastagem, árvores esparsas. Solo exposto e compactado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"40",2449862695,"Ziziphus joazeiro Mart.",-7.019986,-35.279995,"gass84","c9bc6b8d-a4ff-4a47-9cff-d0d1b9e548c7","f4cf14c8-58db-4947-a93c-e43f2b7fe171","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2020-11-09T12:22:37.695+0000","2020-11-09T12:23:07.123+0000",237,"none","PRESERVED_SPECIMEN","PRESENT",3876019,6,7707728,220,691,2407,7273809,8910944,8910944,"Sarcomphalus joazeiro (Mart.) Hauenschild","Plantae","Tracheophyta","Rosales","Rhamnaceae","Sarcomphalus","Sarcomphalus joazeiro","Ziziphus","joazeiro","SPECIES","SYNONYM","2017-09-28T00:00:00","SOUTH_AMERICA","Paraíba",2017,6,20,"2017-06-20T00:00:00","2020-04-22T19:23:26.000+0000","2020-11-09T12:23:07.123+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","BRA","Brazil","BRA.15_1","Paraíba","BRA.15.113_1","Mari","BRA.15.113.1_1","Mari","WGS84","Magnoliopsida","BR","none","none","Brazil","JPB - Herbário Lauro Pires Xavier","82","BRA:UFPB:JPB:IFNPBLAFV82","Mari",NA,"JPB - Herbário Lauro Pires Xavier",2449862695,"JPB","pt","BRA:UFPB:JPB:IFNPBLAFV82","Collection","Vieira, LAF","IFNPBLAFV82","UFPB","Universidade Federal da Paraíba","; DESC: Árvore. Conglomerado IFN-PB-69. Subunidade 3. Subparcela 8. Indivíduo 1.","Figueira, M","Ziziphus joazeiro Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"41",1676473502,"Ziziphus joazeiro Mart.",-13.927222,-41.095,"gass84","a8e78a51-12b2-4ca1-8945-6d909022ef6a","6cc5aff1-f24c-4d67-a827-a666dc680b66","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2020-11-09T12:18:27.201+0000","2020-11-09T12:18:36.388+0000",231,"none","PRESERVED_SPECIMEN","PRESENT",3876019,6,7707728,220,691,2407,7273809,8910944,8910944,"Sarcomphalus joazeiro (Mart.) Hauenschild","Plantae","Tracheophyta","Rosales","Rhamnaceae","Sarcomphalus","Sarcomphalus joazeiro","Ziziphus","joazeiro","SPECIES","SYNONYM",NA,NA,"Bahia",2017,8,5,"2017-08-05T00:00:00","2020-08-05T13:19:13.000+0000","2020-11-09T12:18:36.388+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","BRA","Brazil","BRA.5_1","Bahia","BRA.5.107_1","Contendas do Sincorá","BRA.5.107.2_1","Contendas do Sincorá","WGS84","Magnoliopsida","BR","none","none","Brazil","HURB - Herbário do Recôncavo da Bahia","2672","BRA:UFRB:HURB:15683","Contendas do Sincorá","FLONA;","HURB - Herbário do Recôncavo da Bahia",1676473502,"HURB","pt","BRA:UFRB:HURB:15683","Collection","Costa, G.; Correia, F.R.; Vitório, C.D.P.","15683","UFRB","Universidade Federal do Recôncavo da Bahia",NA,"C.D.P.Vitório","Ziziphus joazeiro Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"42",2423617607,"Ziziphus joazeiro Mart.",-7.2,-45.18,"gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2020-11-10T22:12:47.678+0000","2020-11-10T22:21:32.799+0000",321,"none","PRESERVED_SPECIMEN","PRESENT",3876019,6,7707728,220,691,2407,7273809,8910944,8910944,"Sarcomphalus joazeiro (Mart.) Hauenschild","Plantae","Tracheophyta","Rosales","Rhamnaceae","Sarcomphalus","Sarcomphalus joazeiro","Ziziphus","joazeiro","SPECIES","SYNONYM",NA,NA,"Maranhão",2017,10,19,"2017-10-19T00:00:00",NA,"2020-11-10T22:21:32.799+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","BRA","Brazil","BRA.10_1","Maranhão","BRA.10.107_1","Loreto","BRA.10.107.1_1","Loreto","WGS84","Magnoliopsida","BR","none","none","Brazil","Rio de Janeiro Botanical Garden","199","urn:catalog:JBRJ:RB:1418978","Loreto","Conglomerado MA 731; subunidade , subparcela  e indivíduo.","RB - Rio de Janeiro Botanical Garden Herbarium Collection",2423617607,"RB",NA,"urn:catalog:JBRJ:RB:1418978","Physical Object","R.A.A. Barbosa","RB01418978","JBRJ",NA,NA,"G.M. Antar","Ziziphus joazeiro Mart.",NA,NA,NA,"RB 794509",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Área de cerrado, próximo a riacho.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"43",2427782224,"Ziziphus joazeiro Mart.",-4.071389,-39.999722,"gass84","ca7f81ae-ebf9-43a8-947c-535a87fe5aec","4d653db1-17d5-4565-99a5-d88643e240ce","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2020-11-09T12:10:31.861+0000","2020-11-09T12:10:53.775+0000",241,"none","PRESERVED_SPECIMEN","PRESENT",3876019,6,7707728,220,691,2407,7273809,8910944,8910944,"Sarcomphalus joazeiro (Mart.) Hauenschild","Plantae","Tracheophyta","Rosales","Rhamnaceae","Sarcomphalus","Sarcomphalus joazeiro","Ziziphus","joazeiro","SPECIES","SYNONYM","2017-11-01T00:00:00","SOUTH_AMERICA","Ceará",2017,11,8,"2017-11-08T00:00:00","2020-11-03T01:30:11.000+0000","2020-11-09T12:10:53.775+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","BRA","Brazil","BRA.6_1","Ceará","BRA.6.167_1","Sobral","BRA.6.167.12_1","Taperuaba","WGS84","Magnoliopsida","BR","none","none","Brazil","EAC - Herbário Prisco Bezerra","4844","BRA:UFC:EAC:63461","Sobral","Distrito de Taperuaba, Refúgio de Vida Slivestre Pedra da Andorinha (REVIS)","EAC - Herbário Prisco Bezerra",2427782224,"EAC","pt","BRA:UFC:EAC:63461","Collection","Souza, E.B.; Araújo, F.F.; Peixoto, F.C.; Ferreira, B.A.; Neto, A.; Lucas Alves, A.G.; Mende","63461","Universidade Federal do Ceará","Universidade Federal do Ceará","Arbusto 3-4 m alt. Caule cinza-escuro, Folha cartáceas. Flores amarelas; Área de caatinga em transição para floresta seca, com afloramentos graníticos, solos areno-argilosos e pequenos cursos d'água.","Souza, E.B.; Araújo, F.F.","Ziziphus joazeiro Mart.",NA,260,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"44",2464818228,"Ziziphus joazeiro Mart.",-11.5638,-39.2827,"gass84","76823beb-2f33-47a6-96a1-ccd2df47ac28","9243118c-e750-412b-91f4-ac987666eee1","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2020-11-09T12:12:34.375+0000","2020-11-09T12:12:51.908+0000",249,"none","PRESERVED_SPECIMEN","PRESENT",3876019,6,7707728,220,691,2407,7273809,8910944,8910944,"Sarcomphalus joazeiro (Mart.) Hauenschild","Plantae","Tracheophyta","Rosales","Rhamnaceae","Sarcomphalus","Sarcomphalus joazeiro","Ziziphus","joazeiro","SPECIES","SYNONYM","2018-01-01T00:00:00","SOUTH_AMERICA","Bahia",2017,12,1,"2017-12-01T00:00:00","2019-11-27T16:52:12.000+0000","2020-11-09T12:12:51.908+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","BRA","Brazil","BRA.5_1","Bahia","BRA.5.103_1","Conceição do Coité","BRA.5.103.2_1","Conceição do Coité","WGS84","Magnoliopsida","BR","none","none","Brazil","ASE - Herbário da Universidade Federal de Sergipe","30045","BRA:UFS:ASE:40484","Conceição do Coité","Serra do Mucambo","ASE - Herbário da Universidade Federal de Sergipe",2464818228,"ASE","pt","BRA:UFS:ASE:40484","Collection","Guedes, ML","40484","Universidade Federal de Sergipe","Universidade Federal de Sergipe","Árvore: folhas cartáceas, discolores. Inflorescencia axilar, flores em botões, esverdeados.; Caatinga.","Guedes, ML","Ziziphus joazeiro Mart.",NA,553,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"45",1303206232,"Ziziphus joazeiro Mart.",-3.966667,-38.278611,"gass84","ca7f81ae-ebf9-43a8-947c-535a87fe5aec","4d653db1-17d5-4565-99a5-d88643e240ce","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2020-11-09T12:10:31.861+0000","2020-11-09T12:10:54.969+0000",241,"none","PRESERVED_SPECIMEN","PRESENT",3876019,6,7707728,220,691,2407,7273809,8910944,8910944,"Sarcomphalus joazeiro (Mart.) Hauenschild","Plantae","Tracheophyta","Rosales","Rhamnaceae","Sarcomphalus","Sarcomphalus joazeiro","Ziziphus","joazeiro","SPECIES","SYNONYM","2016-04-01T00:00:00","SOUTH_AMERICA","Ceará",2016,1,15,"2016-01-15T00:00:00","2020-11-03T01:30:11.000+0000","2020-11-09T12:10:54.969+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","BRA","Brazil","BRA.6_1","Ceará","BRA.6.12_1","Aquiraz","BRA.6.12.4_1","Jacauna","WGS84","Magnoliopsida","BR","none","none","Brazil","EAC - Herbário Prisco Bezerra","15","BRA:UFC:EAC:59263","Aquiraz","Trilha das Sucurujubas, substrato arenoso.","EAC - Herbário Prisco Bezerra",1303206232,"EAC","pt","BRA:UFC:EAC:59263","Collection","Negreiros, A.P.; Ribeiro, R.T.M.; Loiola, M.I.B.","59263","Universidade Federal do Ceará","Universidade Federal do Ceará","Potencial de uso de recursos vegetais na comunidade indígena Jenipapo-Kanindé em Aquiraz, CE, Brasil.; Árvore, fanerófito, frutos verdes, folhas simples, alternas e serreadas na base.","Loiola, M.I.B.","Ziziphus joazeiro Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"46",1638347322,"Ziziphus joazeiro Mart.",-12.765556,-39.428333,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2020-11-10T22:12:47.678+0000","2020-11-10T22:21:32.259+0000",321,"none","PRESERVED_SPECIMEN","PRESENT",3876019,6,7707728,220,691,2407,7273809,8910944,8910944,"Sarcomphalus joazeiro (Mart.) Hauenschild","Plantae","Tracheophyta","Rosales","Rhamnaceae","Sarcomphalus","Sarcomphalus joazeiro","Ziziphus","joazeiro","SPECIES","SYNONYM",NA,NA,"Bahia",2016,2,23,"2016-02-23T00:00:00",NA,"2020-11-10T22:21:32.259+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","BRA","Brazil","BRA.5_1","Bahia","BRA.5.90_1","Castro Alves","BRA.5.90.1_1","Castro Alves","WGS84","Magnoliopsida","BR","none","none","Brazil","Rio de Janeiro Botanical Garden","1261","urn:catalog:JBRJ:RB:1357854","Castro Alves","Conglomerado BA_856-1-1-1","RB - Rio de Janeiro Botanical Garden Herbarium Collection",1638347322,"RB",NA,"urn:catalog:JBRJ:RB:1357854","Physical Object","Santos, E. A.","RB01357854","JBRJ",NA,"Árvore","R. Asprino & L. Daneu","Ziziphus joazeiro Mart.",NA,NA,NA,"RB 743265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"47",1944983715,"Ziziphus joazeiro Mart.",-12.771944,-39.523333,"gass84","bc81e05b-ed51-46ba-a0a4-90fbae9b5545","c6aacf9d-a5a7-4d7f-a6fc-ea0a4b8ec450","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2020-11-09T12:24:57.448+0000","2020-11-09T12:27:35.986+0000",230,"none","PRESERVED_SPECIMEN","PRESENT",3876019,6,7707728,220,691,2407,7273809,8910944,8910944,"Sarcomphalus joazeiro (Mart.) Hauenschild","Plantae","Tracheophyta","Rosales","Rhamnaceae","Sarcomphalus","Sarcomphalus joazeiro","Ziziphus","joazeiro","SPECIES","SYNONYM",NA,NA,"Bahia",2016,2,17,"2016-02-17T00:00:00","2020-07-23T15:19:48.000+0000","2020-11-09T12:27:35.986+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","BRA","Brazil","BRA.5_1","Bahia","BRA.5.345_1","Santa Teresinha","BRA.5.345.1_1","Santa Teresinha","WGS84","Magnoliopsida","BR","none","none","Brazil","CEPEC - Herbário do Centro de Pesquisas do Cacau","1201","BRA:CEPLAC:CEPEC:153604","SANTA TEREsINHA","Conglomerado BA_855_P19-3-10-4RN","CEPEC - Herbário do Centro de Pesquisas do Cacau",1944983715,"CEPEC","pt","BRA:CEPLAC:CEPEC:153604","Collection","Santos, E.A.","153604","Comissão Executiva do Plano da Lavoura Cacaueira","Comissão Executiva do Plano da Lavoura Cacaueira","<ll>dwc_commonname:</ll>","R. Asprino","Ziziphus joazeiro Mart.",NA,NA,NA,"8/5/2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"48",1944983798,"Ziziphus joazeiro Mart.",-12.765556,-39.428333,"gass84","bc81e05b-ed51-46ba-a0a4-90fbae9b5545","c6aacf9d-a5a7-4d7f-a6fc-ea0a4b8ec450","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2020-11-09T12:24:57.448+0000","2020-11-09T12:27:38.089+0000",230,"none","PRESERVED_SPECIMEN","PRESENT",3876019,6,7707728,220,691,2407,7273809,8910944,8910944,"Sarcomphalus joazeiro (Mart.) Hauenschild","Plantae","Tracheophyta","Rosales","Rhamnaceae","Sarcomphalus","Sarcomphalus joazeiro","Ziziphus","joazeiro","SPECIES","SYNONYM",NA,NA,"Bahia",2016,2,23,"2016-02-23T00:00:00","2020-07-23T15:19:48.000+0000","2020-11-09T12:27:38.089+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","BRA","Brazil","BRA.5_1","Bahia","BRA.5.90_1","Castro Alves","BRA.5.90.1_1","Castro Alves","WGS84","Magnoliopsida","BR","none","none","Brazil","CEPEC - Herbário do Centro de Pesquisas do Cacau","1261","BRA:CEPLAC:CEPEC:153664","castro alves","Conglomerado BA_856-1-1-1","CEPEC - Herbário do Centro de Pesquisas do Cacau",1944983798,"CEPEC","pt","BRA:CEPLAC:CEPEC:153664","Collection","Santos, E.A.","153664","Comissão Executiva do Plano da Lavoura Cacaueira","Comissão Executiva do Plano da Lavoura Cacaueira","<ll>dwc_commonname:</ll>","R. Asprino & L. Daneu","Ziziphus joazeiro Mart.",NA,NA,NA,"8/5/2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"49",2464814247,"Ziziphus joazeiro Mart.",-10.2758,-36.2907,"gass84","76823beb-2f33-47a6-96a1-ccd2df47ac28","9243118c-e750-412b-91f4-ac987666eee1","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2020-11-09T12:12:34.375+0000","2020-11-09T12:12:49.669+0000",249,"none","PRESERVED_SPECIMEN","PRESENT",3876019,6,7707728,220,691,2407,7273809,8910944,8910944,"Sarcomphalus joazeiro (Mart.) Hauenschild","Plantae","Tracheophyta","Rosales","Rhamnaceae","Sarcomphalus","Sarcomphalus joazeiro","Ziziphus","joazeiro","SPECIES","SYNONYM",NA,"SOUTH_AMERICA","Sergipe",2016,2,17,"2016-02-17T00:00:00","2019-11-27T16:52:12.000+0000","2020-11-09T12:12:49.669+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","BRA","Brazil","BRA.2_1","Alagoas","BRA.2.30_1","Feliz Deserto","BRA.2.30.1_1","Feliz Deserto","WGS84","Magnoliopsida","BR","none","none","Brazil","ASE - Herbário da Universidade Federal de Sergipe","122","BRA:UFS:ASE:36482","Brejo Grande","Brejo dos Negros, Mata da Batateira.","ASE - Herbário da Universidade Federal de Sergipe",2464814247,"ASE","pt","BRA:UFS:ASE:36482","Collection","Figueiredo, MA; Farias, MCV","36482","Universidade Federal de Sergipe","Universidade Federal de Sergipe","Botões florais verdes.; Restinga.",NA,"Ziziphus joazeiro Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
